Feature,Importance
Material Advantage,0.010538347231638713
Center Control,1.7177645298337515e-06
King Safety,1.464427617159951e-06
Mobility,0.9894549589630592
Attack Coverage,1.5908193050449293e-06
Defense Stance,1.9207938500484162e-06
